id,source,contract_id,ordered_at,planned_arrival_at,actual_arrival_at,planned_t,actual_share,gross_t,role
RECOURSE-B-2039-12,B,B-2039,20075/12,21535/12,21535/12,4.04858299595141700404858292,1,4.04858299595141700404858292,emergency
RECOURSE-B-2040-01,B,B-2040,5110/3,1825,1825,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-02,B,B-2040,6935/4,22265/12,22265/12,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-03,B,B-2040,10585/6,11315/6,11315/6,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-04,B,B-2040,21535/12,7665/4,7665/4,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-05,B,B-2040,1825,5840/3,5840/3,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-06,B,B-2040,22265/12,23725/12,23725/12,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-07,B,B-2040,11315/6,4015/2,4015/2,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-08,B,B-2040,7665/4,24455/12,24455/12,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-09,B,B-2040,5840/3,6205/3,6205/3,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-10,B,B-2040,23725/12,8395/4,8395/4,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-11,B,B-2040,4015/2,12775/6,12775/6,4.934210526315789473684210518,1,4.934210526315789473684210518,emergency
RECOURSE-B-2040-12,B,B-2040,24455/12,25915/12,25915/12,4.93421052631578947368421050,1,4.93421052631578947368421050,emergency
